title,genre,classification,duration,synopsis,url
Ahora estamos solos,Sci-Fi & Fantasy,R,1hr 39 min,"En un futuro no muy lejano, algo dejó al planeta devastado. Durante mucho tiempo, De se considera el último representante de la humanidad. Acostumbrado a la soledad, casi se siente feliz con la tranquilidad de los días.",https://pluto.tv/on-demand/movies/6141f41bbce9e900135a5a3d/details
La Amenaza Solar,Sci-Fi & Fantasy,R,1hr 31 min,"Una expulsión amenaza con prender fuego a la atmósfera de la Tierra y acabar con la vida en el planeta. La responsabilidad recae sobre el presidente de los Estados Unidos, puesto que el tiempo del que dispone para evitar el desastre es limitado.",https://pluto.tv/on-demand/movies/5f43c65ebbff270013bc1fba/details
Meteorito,Sci-Fi & Fantasy,TV-14,1hr 24 min,"Después de que un meteorito choca con la Tierra, un ranchero solitario y una joven perdida huyen de mercenarios viciosos.",https://pluto.tv/on-demand/movies/627c0d6255812e0013ede85d/details
Amenaza en el Mar,Sci-Fi & Fantasy,TV-14,1hr 30 min,"En Malibú, un tsunami provoca la reaparición de una especie de tiburón prehistórico, que se creía ya extinguida y que se dedica a atacar a los bañistas.",https://pluto.tv/on-demand/movies/60bf7231d782df0013ef2689/details
Desde las profundidades,Sci-Fi & Fantasy,N/A,1hr 25 min,"Después de sobrevivir al ataque de un tiburón, una joven sufre pesadillas de ser acechada en el mar oscuro por un depredador voraz, y alucinaciones de las visitas de su hermana y su novio, ambos muertos en el ataque.",https://pluto.tv/on-demand/movies/60ba3c7084ffb00013529671/details
The 7 Adventures of Sinbad,Action & Adventure,PG-13,1hr 35 min,"Simbad, el Príncipe de Persia original, debe completar siete tareas para salvar al mundo de una catástrofe.",https://pluto.tv/on-demand/movies/5daf9754c22bf318a740e8b0/details
Air Collision,Action & Adventure,N/A,1hr 32 min,"Cuando una tormenta solar destruye el sistema de control de tráfico aéreo, Air Force One y un avión de pasajeros están bloqueados en un curso de colisión en los cielos sobre el medio oeste.",https://pluto.tv/on-demand/movies/5e505287f55660c6ac815027/details
Ogre,Sci-Fi & Fantasy,G,1hr 30 min,Un ogro vicioso gobierna sobre una ciudad que ha estado estancada en el tiempo desde el siglo XIX.,https://pluto.tv/on-demand/movies/5f3fd8b8ad190c001a52ea51/details
"30,000 Leagues Under the Sea",Sci-Fi & Fantasy,N/A,1hr 25 min,"En este recuento moderno del clásico cuento de ciencia ficción, el carismático sociópata, el capitán Nemo, utiliza su submarino de alta tecnología para provocar la venganza en el mundo de la superficie.",https://pluto.tv/on-demand/movies/5dc93109effb414a981cbf4a/details
Mega Shark vs Giant Octopus,Action & Adventure,N/A,1hr 28 min,Incidentes inexplicables están ocurriendo en todo el Océano Pacífico cuando un grupo de científicos rebeldes descubrió un tiburón megalodón prehistórico y se ha desatado un pulpo gigante gracias a una operación militar ilegal.,https://pluto.tv/on-demand/movies/5dc92f94510729221d09827e/details
